Feature,Mean (Early Fatigue),Mean (Late Fatigue),Cohen's d,Correlation (Fatigue),p-value,Significant (p<0.05)
mean,2085.1882547486034,2414.840766917293,-0.48787508290931225,0.09668354965494064,,False
std,1304.3816253531309,1160.2514868265466,0.40007950444703927,-0.09879301837198498,,False
rms,2512.8453366639164,2738.4166213241215,-0.4165746760167167,0.07755277449669262,,False
mav,2085.1882547486034,2414.840766917293,-0.48787508290931225,0.09668354965494064,,False
wl,104976.90502793297,100775.24812030075,0.0958251195267719,-0.034395289811433825,,False
zc,0.0,0.0,,,,False
ssc,198.03240223463686,213.0300751879699,-0.28251905660975,0.06962764540808301,,False
mean_freq,46.953715661196306,49.914484817737936,-0.10889114712791395,-0.0072192823734437556,,False
median_freq,24.478212290502793,25.293233082706767,-0.034049743818019215,-0.009576928684729525,,False
fractal_dim,0.31315378491938634,0.3336648059457114,-0.15835645985574903,0.0076313571266466715,,False
sample_entropy,0.4237524391878712,0.44360480793521345,-0.09017979547545094,0.027349400482242745,,False
spectral_entropy,1.7437740793209344,1.2295933682262332,0.5218690575096687,-0.10266640033329259,,False
